cle,fichier,part
echo-CAMUS_patient0042_2CH_00,echo-CAMUS_patient0042_2CH_00.jpg,obsonix-v6-00000.zip
echo-CAMUS_patient0095_2CH_00,echo-CAMUS_patient0095_2CH_00.jpg,obsonix-v6-00000.zip
echo-CAMUS_patient0145_2CH_01,echo-CAMUS_patient0145_2CH_01.jpg,obsonix-v6-00000.zip
echo-CAMUS_patient0157_4CH_00,echo-CAMUS_patient0157_4CH_00.jpg,obsonix-v6-00000.zip
echo-CAMUS_patient0300_4CH_01,echo-CAMUS_patient0300_4CH_01.jpg,obsonix-v6-00000.zip
echo-CAMUS_patient0313_2CH_01,echo-CAMUS_patient0313_2CH_01.jpg,obsonix-v6-00000.zip
echo-CAMUS_patient0337_2CH_00,echo-CAMUS_patient0337_2CH_00.jpg,obsonix-v6-00000.zip
echo-CAMUS_patient0423_2CH_01,echo-CAMUS_patient0423_2CH_01.jpg,obsonix-v6-00000.zip
echo-CAMUS_patient0484_2CH_00,echo-CAMUS_patient0484_2CH_00.jpg,obsonix-v6-00000.zip
echo-EchoNet_Dynamic_0X2AFCEF38F2CB4FD_03,echo-EchoNet_Dynamic_0X2AFCEF38F2CB4FD_03.jpg,obsonix-v6-00000.zip
echo-EchoNet_Dynamic_0X2C73664CB7057853_01,echo-EchoNet_Dynamic_0X2C73664CB7057853_01.jpg,obsonix-v6-00000.zip
echo-EchoNet_Dynamic_0X3E0D058327AC7898_01,echo-EchoNet_Dynamic_0X3E0D058327AC7898_01.jpg,obsonix-v6-00000.zip
echo-EchoNet_Dynamic_0X487B52623BC14C25_03,echo-EchoNet_Dynamic_0X487B52623BC14C25_03.jpg,obsonix-v6-00000.zip
echo-EchoNet_Dynamic_0X684A3BC616D3740C_00,echo-EchoNet_Dynamic_0X684A3BC616D3740C_00.jpg,obsonix-v6-00000.zip
echo-EchoNet_Dynamic_0X773AC247581BBBA1_01,echo-EchoNet_Dynamic_0X773AC247581BBBA1_01.jpg,obsonix-v6-00000.zip
