encodeur,condition,variante,type,statistique,estimation,ic_bas,ic_haut
RANDOM,image,equilibree,image,exactitude,0.961640916355887,0.9531166755460841,0.9706979222163026
RANDOM,image,equilibree,image,exactitude_equilibree,0.9533389940990805,0.9425348486352451,0.9638667307852855
RANDOM,image,equilibree,image,f1_macro,0.9537332820273231,0.9433880673940096,0.9643299561381993
RANDOM,image,equilibree,grappe_sources,exactitude,0.961640916355887,0.9290055643529516,0.9841323953823953
RANDOM,image,equilibree,grappe_sources,exactitude_equilibree,0.9533389940990805,0.9184720819304152,0.981652772182383
RANDOM,image,equilibree,grappe_sources,f1_macro,0.9537332820273231,0.9054166878088625,0.978234858549129
RANDOM,image,brute,image,exactitude,0.9573787959509856,0.94832179009057,0.9659163558870538
RANDOM,image,brute,image,exactitude_equilibree,0.9476132343747617,0.9368524834281997,0.9579185544560778
RANDOM,image,brute,image,f1_macro,0.9482872291719114,0.9373740507415782,0.9586365173301564
RANDOM,image,brute,grappe_sources,exactitude,0.9573787959509856,0.9203905955626481,0.9830927495483749
RANDOM,image,brute,grappe_sources,exactitude_equilibree,0.9476132343747617,0.9065029761904762,0.9784651857161725
RANDOM,image,brute,grappe_sources,f1_macro,0.9482872291719114,0.8906844691513115,0.9749360265685225
RANDOM,source,equilibree,image,exactitude,0.489769820971867,0.47714194373401536,0.5028812340153452
RANDOM,source,equilibree,image,exactitude_equilibree,0.5189281938265502,0.5061979156345823,0.5315671626700479
RANDOM,source,equilibree,image,f1_macro,0.49922680279684417,0.486793989643011,0.5120562094914686
RANDOM,source,equilibree,grappe_sources,exactitude,0.489769820971867,0.37785623283129677,0.5877905998995984
RANDOM,source,equilibree,grappe_sources,exactitude_equilibree,0.5189281938265502,0.40531181245858183,0.6055675595238095
RANDOM,source,equilibree,grappe_sources,f1_macro,0.49922680279684417,0.366256789678297,0.5728637267042096
RANDOM,source,brute,image,exactitude,0.48321611253196933,0.46994085677749364,0.4956881393861892
RANDOM,source,brute,image,exactitude_equilibree,0.5122496841874005,0.4997836987567536,0.5242278193401927
RANDOM,source,brute,image,f1_macro,0.49386068644509495,0.4806593552218008,0.5054854579559187
RANDOM,source,brute,grappe_sources,exactitude,0.48321611253196933,0.3813821634934167,0.5952148165903727
RANDOM,source,brute,grappe_sources,exactitude_equilibree,0.5122496841874005,0.40658173647484397,0.5972453747029115
RANDOM,source,brute,grappe_sources,f1_macro,0.49386068644509495,0.37177201305410346,0.5640562966689661
IN1K,image,equilibree,image,exactitude,0.9962706446457112,0.9930740543420352,0.9984017048481619
IN1K,image,equilibree,image,exactitude_equilibree,0.9953324413338822,0.9916518359577663,0.9982187622203677
IN1K,image,equilibree,image,f1_macro,0.9951986148539936,0.9912757642888252,0.9980637740130092
IN1K,image,equilibree,grappe_sources,exactitude,0.9962706446457112,0.991812865497076,0.9991060746038841
IN1K,image,equilibree,grappe_sources,exactitude_equilibree,0.9953324413338822,0.9904192164008068,0.9989437792056075
IN1K,image,equilibree,grappe_sources,f1_macro,0.9951986148539936,0.9878535375121879,0.9988177588588337
IN1K,image,brute,image,exactitude,0.996803409696324,0.9941395844432606,0.9989344698987747
IN1K,image,brute,image,exactitude_equilibree,0.9960529024289831,0.9926910322609858,0.9988938806148381
IN1K,image,brute,image,f1_macro,0.9959063432307995,0.9924692515167592,0.9987042234757778
IN1K,image,brute,grappe_sources,exactitude,0.996803409696324,0.9934679334916865,0.9989766276624696
