encodeur,condition,variante,vrai,predit,n
RANDOM,image,equilibree,foetal,foetal,621
RANDOM,image,equilibree,foetal,cardiaque,3
RANDOM,image,equilibree,foetal,thyroide,3
RANDOM,image,equilibree,foetal,sein,3
RANDOM,image,equilibree,cardiaque,foetal,3
RANDOM,image,equilibree,cardiaque,cardiaque,534
RANDOM,image,equilibree,cardiaque,thyroide,2
RANDOM,image,equilibree,cardiaque,sein,1
RANDOM,image,equilibree,thyroide,foetal,6
RANDOM,image,equilibree,thyroide,cardiaque,3
RANDOM,image,equilibree,thyroide,thyroide,331
RANDOM,image,equilibree,thyroide,sein,20
RANDOM,image,equilibree,sein,foetal,2
RANDOM,image,equilibree,sein,cardiaque,1
RANDOM,image,equilibree,sein,thyroide,25
RANDOM,image,equilibree,sein,sein,319
RANDOM,image,brute,foetal,foetal,622
RANDOM,image,brute,foetal,cardiaque,3
RANDOM,image,brute,foetal,thyroide,3
RANDOM,image,brute,foetal,sein,2
RANDOM,image,brute,cardiaque,foetal,3
RANDOM,image,brute,cardiaque,cardiaque,533
RANDOM,image,brute,cardiaque,thyroide,3
RANDOM,image,brute,cardiaque,sein,1
RANDOM,image,brute,thyroide,foetal,7
RANDOM,image,brute,thyroide,cardiaque,4
RANDOM,image,brute,thyroide,thyroide,327
RANDOM,image,brute,thyroide,sein,22
RANDOM,image,brute,sein,foetal,2
RANDOM,image,brute,sein,cardiaque,1
RANDOM,image,brute,sein,thyroide,29
RANDOM,image,brute,sein,sein,315
RANDOM,source,equilibree,foetal,foetal,916
RANDOM,source,equilibree,foetal,cardiaque,878
RANDOM,source,equilibree,foetal,thyroide,197
RANDOM,source,equilibree,foetal,sein,109
RANDOM,source,equilibree,cardiaque,foetal,882
RANDOM,source,equilibree,cardiaque,cardiaque,647
RANDOM,source,equilibree,cardiaque,thyroide,242
RANDOM,source,equilibree,cardiaque,sein,29
RANDOM,source,equilibree,thyroide,foetal,66
RANDOM,source,equilibree,thyroide,cardiaque,35
RANDOM,source,equilibree,thyroide,thyroide,579
RANDOM,source,equilibree,thyroide,sein,520
RANDOM,source,equilibree,sein,foetal,41
RANDOM,source,equilibree,sein,cardiaque,1
RANDOM,source,equilibree,sein,thyroide,192
RANDOM,source,equilibree,sein,sein,922
RANDOM,source,brute,foetal,foetal,934
RANDOM,source,brute,foetal,cardiaque,877
RANDOM,source,brute,foetal,thyroide,185
RANDOM,source,brute,foetal,sein,104
RANDOM,source,brute,cardiaque,foetal,951
RANDOM,source,brute,cardiaque,cardiaque,596
RANDOM,source,brute,cardiaque,thyroide,233
RANDOM,source,brute,cardiaque,sein,20
RANDOM,source,brute,thyroide,foetal,78
RANDOM,source,brute,thyroide,cardiaque,32
RANDOM,source,brute,thyroide,thyroide,580
RANDOM,source,brute,thyroide,sein,510
RANDOM,source,brute,sein,foetal,48
RANDOM,source,brute,sein,cardiaque,1
RANDOM,source,brute,sein,thyroide,194
RANDOM,source,brute,sein,sein,913
IN1K,image,equilibree,foetal,foetal,629
IN1K,image,equilibree,foetal,cardiaque,0
