encodeur,condition,variante,observe,perm_moyenne,perm_p975,p_valeur
RANDOM,image,equilibree,0.9533389940990805,0.2500040818504795,0.2688596535115807,0.001996007984031936
RANDOM,image,brute,0.9476132343747617,0.24920136334873366,0.26676675929737886,0.001996007984031936
RANDOM,source,equilibree,0.5189281938265502,0.25861820570385013,0.26893873922117867,0.001996007984031936
RANDOM,source,brute,0.5122496841874005,0.25561895266930307,0.2660171860410831,0.001996007984031936
IN1K,image,equilibree,0.9953324413338822,0.25012720560206153,0.2690245947882835,0.001996007984031936
IN1K,image,brute,0.9960529024289831,0.24955199937483796,0.26808877205220866,0.001996007984031936
IN1K,source,equilibree,0.7158649145932883,0.2672800974213214,0.27735308449360135,0.001996007984031936
IN1K,source,brute,0.7153509982424343,0.2676758658071071,0.2782506256178942,0.001996007984031936
DINOv2,image,equilibree,0.9872707103975116,0.25060287288626626,0.2686335302212463,0.001996007984031936
DINOv2,image,brute,0.987667535794337,0.25034271819678877,0.2693386839005535,0.001996007984031936
DINOv2,source,equilibree,0.735597126105344,0.24972473073543144,0.2592911989550722,0.001996007984031936
DINOv2,source,brute,0.7107876778162245,0.24279137872796178,0.25213615728154004,0.001996007984031936
A0 ep100,image,equilibree,0.9906507784029398,0.2497385995608618,0.2683547589504902,0.001996007984031936
A0 ep100,image,brute,0.9913452228473842,0.2505459720888035,0.2711789116463108,0.001996007984031936
A0 ep100,source,equilibree,0.6483626833086176,0.27643142898335804,0.28609214776596914,0.001996007984031936
A0 ep100,source,brute,0.65991620667875,0.273466741363212,0.28490711333553026,0.001996007984031936
A0 ep200,image,equilibree,0.9930436431697239,0.24995792888400956,0.2678970017001357,0.001996007984031936
A0 ep200,image,brute,0.9930436431697239,0.2503930702316149,0.26969354434457093,0.001996007984031936
A0 ep200,source,equilibree,0.642969839896743,0.26169580353710115,0.2728306866864393,0.001996007984031936
A0 ep200,source,brute,0.6416940256494754,0.25994678482177186,0.26937686312270004,0.001996007984031936
A0 ep300,image,equilibree,0.9908822598844214,0.24998467342908987,0.2699583638290411,0.001996007984031936
A0 ep300,image,brute,0.9919995463763476,0.24960209048076482,0.27001042810255704,0.001996007984031936
A0 ep300,source,equilibree,0.6545212692920306,0.27661514774537266,0.2863720083621684,0.001996007984031936
A0 ep300,source,brute,0.6485431770747514,0.2739254695996045,0.2854175703369583,0.001996007984031936
FOETAL ep50,image,equilibree,0.9903862281383896,0.2503477208270436,0.2707788961125597,0.001996007984031936
FOETAL ep50,image,brute,0.9896657670432887,0.2508499466325115,0.26998281042724487,0.001996007984031936
FOETAL ep50,source,equilibree,0.6829103504146756,0.2715117067611359,0.28243036074724004,0.001996007984031936
FOETAL ep50,source,brute,0.6818309922008019,0.26901296074312075,0.2798402794941506,0.001996007984031936
FOETAL ep100,image,equilibree,0.9903461072229084,0.2499247493634021,0.2680055759495601,0.001996007984031936
FOETAL ep100,image,brute,0.9910405516673528,0.25046871483463706,0.2696079228801671,0.001996007984031936
FOETAL ep100,source,equilibree,0.6346544254956884,0.2691371055088702,0.2799049618621958,0.001996007984031936
FOETAL ep100,source,brute,0.6267318545065085,0.263861851760312,0.2742353885181524,0.001996007984031936
