encodeur,perimetre,categorie,n_sources,n_test,exactitude,exactitude_equilibree,hasard,majorite
RANDOM,globale,toutes,21,1877,0.9168886521044219,0.9150484436198721,0.047619047619047616,0.04794885455514118
RANDOM,par_categorie,foetal,7,630,0.9809523809523809,0.980952380952381,0.14285714285714285,0.14285714285714285
RANDOM,par_categorie,cardiaque,6,540,0.9740740740740741,0.9740740740740742,0.16666666666666666,0.16666666666666666
RANDOM,par_categorie,thyroide,4,360,0.9527777777777777,0.9527777777777778,0.25,0.25
RANDOM,par_categorie,sein,4,347,0.8587896253602305,0.8545093795093794,0.25,0.25936599423631124
IN1K,globale,toutes,21,1877,0.9765583377730421,0.976451590737305,0.047619047619047616,0.04794885455514118
IN1K,par_categorie,foetal,7,630,0.9984126984126984,0.9984126984126984,0.14285714285714285,0.14285714285714285
IN1K,par_categorie,cardiaque,6,540,1.0,1.0,0.16666666666666666,0.16666666666666666
IN1K,par_categorie,thyroide,4,360,0.9638888888888889,0.9638888888888889,0.25,0.25
IN1K,par_categorie,sein,4,347,0.9510086455331412,0.9523088023088022,0.25,0.25936599423631124
DINOv2,globale,toutes,21,1877,0.9770911028236547,0.9768913626056481,0.047619047619047616,0.04794885455514118
DINOv2,par_categorie,foetal,7,630,1.0,1.0,0.14285714285714285,0.14285714285714285
DINOv2,par_categorie,cardiaque,6,540,0.9962962962962963,0.9962962962962963,0.16666666666666666,0.16666666666666666
DINOv2,par_categorie,thyroide,4,360,0.9694444444444444,0.9694444444444446,0.25,0.25
DINOv2,par_categorie,sein,4,347,0.9538904899135446,0.9541486291486291,0.25,0.25936599423631124
A0 ep100,globale,toutes,21,1877,0.9744272775705913,0.9737992166563594,0.047619047619047616,0.04794885455514118
A0 ep100,par_categorie,foetal,7,630,0.9984126984126984,0.9984126984126984,0.14285714285714285,0.14285714285714285
A0 ep100,par_categorie,cardiaque,6,540,1.0,1.0,0.16666666666666666,0.16666666666666666
A0 ep100,par_categorie,thyroide,4,360,0.9638888888888889,0.963888888888889,0.25,0.25
A0 ep100,par_categorie,sein,4,347,0.9193083573487032,0.9175324675324676,0.25,0.25936599423631124
A0 ep200,globale,toutes,21,1877,0.9765583377730421,0.9760942760942763,0.047619047619047616,0.04794885455514118
A0 ep200,par_categorie,foetal,7,630,0.9952380952380953,0.9952380952380953,0.14285714285714285,0.14285714285714285
A0 ep200,par_categorie,cardiaque,6,540,1.0,1.0,0.16666666666666666,0.16666666666666666
A0 ep200,par_categorie,thyroide,4,360,0.9583333333333334,0.9583333333333333,0.25,0.25
A0 ep200,par_categorie,sein,4,347,0.9279538904899135,0.9272727272727274,0.25,0.25936599423631124
A0 ep300,globale,toutes,21,1877,0.9706979222163026,0.9703634989349273,0.047619047619047616,0.04794885455514118
A0 ep300,par_categorie,foetal,7,630,0.9968253968253968,0.9968253968253968,0.14285714285714285,0.14285714285714285
A0 ep300,par_categorie,cardiaque,6,540,1.0,1.0,0.16666666666666666,0.16666666666666666
A0 ep300,par_categorie,thyroide,4,360,0.9361111111111111,0.9361111111111111,0.25,0.25
A0 ep300,par_categorie,sein,4,347,0.9250720461095101,0.9244949494949495,0.25,0.25936599423631124
FOETAL ep50,globale,toutes,21,1877,0.9728289824187534,0.9726585583728439,0.047619047619047616,0.04794885455514118
FOETAL ep50,par_categorie,foetal,7,630,0.9936507936507937,0.9936507936507937,0.14285714285714285,0.14285714285714285
FOETAL ep50,par_categorie,cardiaque,6,540,1.0,1.0,0.16666666666666666,0.16666666666666666
FOETAL ep50,par_categorie,thyroide,4,360,0.9583333333333334,0.9583333333333333,0.25,0.25
FOETAL ep50,par_categorie,sein,4,347,0.930835734870317,0.9319264069264069,0.25,0.25936599423631124
FOETAL ep100,globale,toutes,21,1877,0.9717634523175279,0.9715110286538856,0.047619047619047616,0.04794885455514118
FOETAL ep100,par_categorie,foetal,7,630,0.9968253968253968,0.9968253968253968,0.14285714285714285,0.14285714285714285
FOETAL ep100,par_categorie,cardiaque,6,540,1.0,1.0,0.16666666666666666,0.16666666666666666
FOETAL ep100,par_categorie,thyroide,4,360,0.9555555555555556,0.9555555555555555,0.25,0.25
FOETAL ep100,par_categorie,sein,4,347,0.9193083573487032,0.9198773448773448,0.25,0.25936599423631124
