fichier,octets,sha256
JOURNAL.md,15529,5ac2028ffadc90b2
README_resultats.md,7758,7f5a8dde330c0836
S0_config.json,1062,9f19d768022f980c
S0_preenregistrement.md,2745,e622b627dc87dd01
S1_resume.md,2438,cc474b7e6ebf2425
S2_parts/obsonix-v6-00000.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00000.zip,3340316,1ebe6e7f5ee9f6b2
S2_parts/obsonix-v6-00001.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00001.zip,3154601,a233dd646dadd6c4
S2_parts/obsonix-v6-00002.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00002.zip,3012144,421b4faac8d96c0c
S2_parts/obsonix-v6-00003.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00003.zip,3592295,04b4d5ec443e355f
S2_parts/obsonix-v6-00004.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00004.zip,3450867,b5d3bc3ff1fd3451
S2_parts/obsonix-v6-00005.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00005.zip,3169770,1d0998b8a7a2877f
S2_parts/obsonix-v6-00006.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00006.zip,3337091,a69672cbe14bc826
S2_parts/obsonix-v6-00007.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00007.zip,3644116,881fce6fc08eb1e4
S2_parts/obsonix-v6-00008.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00008.zip,3333180,6e717ee1a8d48b97
S2_parts/obsonix-v6-00009.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00009.zip,2917798,89babdf133d11ec3
S2_parts/obsonix-v6-00010.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00010.zip,3050923,c8765d1a06b75532
S2_parts/obsonix-v6-00011.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00011.zip,3179960,cbb87b952ec052fa
S2_parts/obsonix-v6-00012.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00012.zip,3222162,2d15cbdc500a481d
S2_parts/obsonix-v6-00013.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00013.zip,3422983,97e26cff7ba90e95
S2_parts/obsonix-v6-00014.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00014.zip,3359021,7b33ab02f42cb45f
S2_parts/obsonix-v6-00015.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00015.zip,3258957,cb19f4e7a8dfd329
S2_parts/obsonix-v6-00016.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00016.zip,3031191,7465661da339090d
S2_parts/obsonix-v6-00017.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00017.zip,3644798,e3ac130f42c78166
S2_parts/obsonix-v6-00018.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00018.zip,3564099,7ee9cb719ea61259
S2_parts/obsonix-v6-00019.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00019.zip,3238608,0b11415cc82ff471
S2_parts/obsonix-v6-00020.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00020.zip,3387005,6258b35f75958a7d
S2_parts/obsonix-v6-00021.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00021.zip,3493826,a5eb2e22e53309e3
S2_parts/obsonix-v6-00022.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00022.zip,3278039,8db68a9ed97f90c4
S2_parts/obsonix-v6-00023.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00023.zip,3233162,3da7e8ea7f0584f5
S2_parts/obsonix-v6-00024.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00024.zip,2980391,99ebbe0c7de3ffc6
S2_parts/obsonix-v6-00025.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00025.zip,3055135,32713a748efa4b1c
S2_parts/obsonix-v6-00026.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00026.zip,3382901,228c98635a12f836
S2_parts/obsonix-v6-00027.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00027.zip,3499584,8fd708a5ec8f6590
S2_parts/obsonix-v6-00028.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00028.zip,3674839,cfcbb0e3bdde2aaa
S2_parts/obsonix-v6-00029.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00029.zip,2880223,f7c16debf719eafd
S2_parts/obsonix-v6-00030.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00030.zip,3727419,2b45b75c962b057f
S2_parts/obsonix-v6-00031.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00031.zip,627059,22c076540be717c0
VERDICT.txt,1294,903ff882831446ba
features/S3_A0_ep100.npz,18552176,1e7498fff3851ade
features/S3_A0_ep200.npz,18552176,8f7ba3a74ffa61f2
features/S3_A0_ep300.npz,18552176,cf91122d3ed80e9d
features/S3_DINOv2.npz,18552176,7ffbefbc55ef3acd
features/S3_FOETAL_ep100.npz,18552176,fd7f6e7a256410ed
features/S3_FOETAL_ep50.npz,18552176,de065af67cacda8e
features/S3_IN1K.npz,18552176,cb8ae929f5a12c13
features/S3_RANDOM.npz,18552176,e89753e9b172a2ae
figures/F1_balanced_accuracy_by_split.png,227830,f0dba793811f931b
figures/F1_balanced_accuracy_by_split.svg,67754,d838c397e042291b
figures/F2_confusion_source_held_out.png,165673,c3dd211d3c37bffa
figures/F2_confusion_source_held_out.svg,83685,e3f823aa41e0e0ac
figures/F3_per_fold_dispersion.png,165172,3ba96cbdf5dc8fc2
figures/F3_per_fold_dispersion.svg,47581,612bb8cf340fe6c8
figures/F4_source_identification_within_category.png,197193,bdefc86495a22c22
figures/F4_source_identification_within_category.svg,62502,d08448b4e9d9f1d3
figures/F5_per_source_centering.png,144179,c097321897498bb4
figures/F5_per_source_centering.svg,54423,3fd2bcd91bdc3a2c
figures/F6_paired_differences.png,233806,e51ff629f5c78584
figures/F6_paired_differences.svg,95230,216a435ee441b0b2
metrics/S1_echantillon.csv,473032,2596db78aaeef1e2
metrics/S1_echantillon.parquet,59233,f7a96e0fc770edba
metrics/S1_plan_plis.csv,881,242c7994cab58262
metrics/S1_plan_plis.parquet,4616,45a6f4fb4135b5d2
metrics/S2_inventaire_images.csv,391801,f20d6d5c9628dab4
metrics/S2_inventaire_images.parquet,122890,428db66c8c560040
metrics/S4_baselines.csv,380,0f7f4f3f3fd351fa
metrics/S4_baselines.parquet,6151,9b0840c9b28ea203
metrics/S4_bootstrap.csv,20230,40b8b0b0ffc9fe3b
metrics/S4_bootstrap.parquet,9444,d02ef1a224b72074
metrics/S4_confusions.csv,21757,6bfe4d1fddd6be54
metrics/S4_confusions.parquet,5319,e5899f36b49eefb7
metrics/S4_metriques.csv,12517,69a587e0af122f2b
metrics/S4_metriques.parquet,11818,5e226c2cc2b569b9
metrics/S4_permutation.csv,3367,11e32af720bf7369
metrics/S4_permutation.parquet,5443,ea88d3ea263a1a56
metrics/S4_predictions.csv,16274747,e232d00175e3af6c
