encodeur,condition,variante,type,statistique,estimation,ic_bas,ic_haut
RANDOM,image,equilibree,image,exactitude,0.948733058338244,0.9387153800824986,0.9587507365939893
RANDOM,image,equilibree,image,exactitude_equilibree,0.9401657060518732,0.9282913185271899,0.9519484207491011
RANDOM,image,equilibree,image,f1_macro,0.9393992800652335,0.9274745959669891,0.9510145251003231
RANDOM,image,equilibree,grappe_sources,exactitude,0.948733058338244,0.9169315182295139,0.9713488144351377
RANDOM,image,equilibree,grappe_sources,exactitude_equilibree,0.9401657060518732,0.9142009291172222,0.9648225308641974
RANDOM,image,equilibree,grappe_sources,f1_macro,0.9393992800652335,0.8921088509084535,0.962745943895861
RANDOM,image,brute,image,exactitude,0.9481437831467295,0.9375368296994696,0.9581761932822628
RANDOM,image,brute,image,exactitude_equilibree,0.9369769986124453,0.9238878751925346,0.9496199903796689
RANDOM,image,brute,image,f1_macro,0.9373008090879239,0.9247375314739238,0.9497782543383271
RANDOM,image,brute,grappe_sources,exactitude,0.9481437831467295,0.915430552674641,0.973015873015873
RANDOM,image,brute,grappe_sources,exactitude_equilibree,0.9369769986124453,0.9081118259141796,0.9662715983467515
RANDOM,image,brute,grappe_sources,f1_macro,0.9373008090879239,0.8827056325377047,0.9636232039065462
RANDOM,source,equilibree,image,exactitude,0.46552333804809054,0.4527934936350778,0.4786067892503536
RANDOM,source,equilibree,image,exactitude_equilibree,0.4638331410995771,0.4504427539989317,0.4776862851234097
RANDOM,source,equilibree,image,f1_macro,0.4581203006160942,0.44486258743546675,0.471994730154943
RANDOM,source,equilibree,grappe_sources,exactitude,0.46552333804809054,0.34623456325301205,0.5822268664891699
RANDOM,source,equilibree,grappe_sources,exactitude_equilibree,0.4638331410995771,0.34041263458978804,0.5937414330218069
RANDOM,source,equilibree,grappe_sources,f1_macro,0.4581203006160942,0.3249345466030751,0.5610048588131293
RANDOM,source,brute,image,exactitude,0.458981612446959,0.4457169377652051,0.4715346534653465
RANDOM,source,brute,image,exactitude_equilibree,0.45710495963091125,0.4437104103834309,0.47028217877941897
RANDOM,source,brute,image,f1_macro,0.4518696575499135,0.43809145234562297,0.4650202263609694
RANDOM,source,brute,grappe_sources,exactitude,0.458981612446959,0.3418515595851056,0.5843506308106219
RANDOM,source,brute,grappe_sources,exactitude_equilibree,0.45710495963091125,0.34266071428571426,0.5842658886463343
RANDOM,source,brute,grappe_sources,f1_macro,0.4518696575499135,0.32475605037316224,0.5600520772719398
IN1K,image,equilibree,image,exactitude,0.99469652327637,0.9911608721272834,0.9982321744254566
IN1K,image,equilibree,image,exactitude_equilibree,0.9925405592912797,0.9873832505419561,0.9973083925659257
IN1K,image,equilibree,image,f1_macro,0.9934006115512257,0.9887394554272464,0.9975943004194613
IN1K,image,equilibree,grappe_sources,exactitude,0.99469652327637,0.9876543209876543,0.9989346531248503
IN1K,image,equilibree,grappe_sources,exactitude_equilibree,0.9925405592912797,0.983819161981762,0.9988828588855326
IN1K,image,equilibree,grappe_sources,f1_macro,0.9934006115512257,0.9809898941565812,0.9989468979483788
IN1K,image,brute,image,exactitude,0.99469652327637,0.990571596935769,0.9976428992339422
IN1K,image,brute,image,exactitude_equilibree,0.9925405592912797,0.9869833478768012,0.9967984351197432
IN1K,image,brute,image,f1_macro,0.9934006115512257,0.9882801652862311,0.9971556956733684
IN1K,image,brute,grappe_sources,exactitude,0.99469652327637,0.9868055555555556,0.9989346531248503
IN1K,image,brute,grappe_sources,exactitude_equilibree,0.9925405592912797,0.9836849516624772,0.9986116239742737
IN1K,image,brute,grappe_sources,f1_macro,0.9934006115512257,0.9821341475547973,0.9987688760509619
IN1K,source,equilibree,image,exactitude,0.6868811881188119,0.6746817538896747,0.6992574257425742
IN1K,source,equilibree,image,exactitude_equilibree,0.7225370049980777,0.7120643159280843,0.7335394686952943
IN1K,source,equilibree,image,f1_macro,0.6953984700494997,0.6835495053036471,0.7074976632493646
IN1K,source,equilibree,grappe_sources,exactitude,0.6868811881188119,0.4697541534746874,0.8972095234263952
IN1K,source,equilibree,grappe_sources,exactitude_equilibree,0.7225370049980777,0.5635848802964548,0.903494434709242
IN1K,source,equilibree,grappe_sources,f1_macro,0.6953984700494997,0.4910428020077547,0.8798781242966062
IN1K,source,brute,image,exactitude,0.7066831683168316,0.6943069306930693,0.7181798090523338
IN1K,source,brute,image,exactitude_equilibree,0.7382035755478662,0.7274569292446889,0.7485619781682786
IN1K,source,brute,image,f1_macro,0.7149234373733714,0.7030943052166821,0.7263440567253806
IN1K,source,brute,grappe_sources,exactitude,0.7066831683168316,0.5075255237207477,0.9087714460784313
IN1K,source,brute,grappe_sources,exactitude_equilibree,0.7382035755478662,0.5869495346579879,0.9097673765469182
IN1K,source,brute,grappe_sources,f1_macro,0.7149234373733714,0.5160069329549465,0.8967281100210246
DINOv2,image,equilibree,image,exactitude,0.9899823217442546,0.9846788450206246,0.99469652327637
DINOv2,image,equilibree,image,exactitude_equilibree,0.9863659408688227,0.9793733803993849,0.992719511868627
DINOv2,image,equilibree,image,f1_macro,0.9863659404719062,0.979495543504048,0.992678780910939
DINOv2,image,equilibree,grappe_sources,exactitude,0.9899823217442546,0.9789459064327486,0.9972025197413419
DINOv2,image,equilibree,grappe_sources,exactitude_equilibree,0.9863659408688227,0.9731184846173405,0.995817968361316
DINOv2,image,equilibree,grappe_sources,f1_macro,0.9863659404719062,0.9678891655263412,0.9958616497304851
DINOv2,image,brute,image,exactitude,0.9911608721272834,0.986446670595168,0.9952857984678845
DINOv2,image,brute,image,exactitude_equilibree,0.9880123278898495,0.981597942336134,0.9935795669994985
DINOv2,image,brute,image,f1_macro,0.988012327492933,0.9816399693106184,0.993559772805
DINOv2,image,brute,grappe_sources,exactitude,0.9911608721272834,0.9812157575433625,0.9981481481481481
DINOv2,image,brute,grappe_sources,exactitude_equilibree,0.9880123278898495,0.974441555929128,0.9963976945244957
DINOv2,image,brute,grappe_sources,f1_macro,0.988012327492933,0.9713307447019803,0.9968981986780062
DINOv2,source,equilibree,image,exactitude,0.7218882602545968,0.7095076025459688,0.7332036775106082
DINOv2,source,equilibree,image,exactitude_equilibree,0.7470842945021147,0.7354948605970653,0.7580533884299485
DINOv2,source,equilibree,image,f1_macro,0.7261527152510676,0.7141661461121324,0.7379313245410175
DINOv2,source,equilibree,grappe_sources,exactitude,0.7218882602545968,0.5220690562697969,0.9178869526306848
DINOv2,source,equilibree,grappe_sources,exactitude_equilibree,0.7470842945021147,0.635929677960928,0.911859276433674
DINOv2,source,equilibree,grappe_sources,f1_macro,0.7261527152510676,0.5530079262413162,0.9052722313714263
DINOv2,source,brute,image,exactitude,0.7206506364922206,0.708623585572843,0.7321428571428571
DINOv2,source,brute,image,exactitude_equilibree,0.7473442906574395,0.7369240050639485,0.7580013226305342
DINOv2,source,brute,image,f1_macro,0.7261089811558323,0.7145646641780966,0.7380648117720939
DINOv2,source,brute,grappe_sources,exactitude,0.7206506364922206,0.5235912450054807,0.8993816465482841
DINOv2,source,brute,grappe_sources,exactitude_equilibree,0.7473442906574395,0.631711678200692,0.8951899887405943
DINOv2,source,brute,grappe_sources,f1_macro,0.7261089811558323,0.5562502198393181,0.879823932482941
A0 ep100,image,equilibree,image,exactitude,0.9888037713612257,0.9835002946375958,0.9935179728933412
A0 ep100,image,equilibree,image,exactitude_equilibree,0.9870864019639235,0.9807477483411993,0.9926990773010379
A0 ep100,image,equilibree,image,f1_macro,0.9868606556845119,0.9804033411490556,0.9926163162473025
A0 ep100,image,equilibree,grappe_sources,exactitude,0.9888037713612257,0.9809052333804809,0.995
A0 ep100,image,equilibree,grappe_sources,exactitude_equilibree,0.9870864019639235,0.97916287469376,0.994383083093223
A0 ep100,image,equilibree,grappe_sources,f1_macro,0.9868606556845119,0.9732399006110424,0.9938091285872563
A0 ep100,image,brute,image,exactitude,0.9888037713612257,0.9835002946375958,0.9935179728933412
A0 ep100,image,brute,image,exactitude_equilibree,0.9870864019639235,0.9806987735592856,0.9925987466090341
A0 ep100,image,brute,image,f1_macro,0.9868606556845119,0.9805435258705288,0.9923586200750446
A0 ep100,image,brute,grappe_sources,exactitude,0.9888037713612257,0.9803918133476235,0.9947096908939014
A0 ep100,image,brute,grappe_sources,exactitude_equilibree,0.9870864019639235,0.9779619534181759,0.994569241571106
A0 ep100,image,brute,grappe_sources,f1_macro,0.9868606556845119,0.9706855337508746,0.9931395231464343
A0 ep100,source,equilibree,image,exactitude,0.6377298444130127,0.6251768033946252,0.6508132956152758
A0 ep100,source,equilibree,image,exactitude_equilibree,0.6717930603613995,0.6603756092299806,0.6831646513795002
A0 ep100,source,equilibree,image,f1_macro,0.6442286142293125,0.631699014724269,0.6566350612891148
A0 ep100,source,equilibree,grappe_sources,exactitude,0.6377298444130127,0.48216120103595955,0.797078504872413
A0 ep100,source,equilibree,grappe_sources,exactitude_equilibree,0.6717930603613995,0.5419334706091985,0.758338041235526
A0 ep100,source,equilibree,grappe_sources,f1_macro,0.6442286142293125,0.48901551217576955,0.7320834585262737
A0 ep100,source,brute,image,exactitude,0.6308345120226309,0.6173930339462517,0.643033946251768
A0 ep100,source,brute,image,exactitude_equilibree,0.6649697231833911,0.6530541021489006,0.6760058575252069
A0 ep100,source,brute,image,f1_macro,0.6377776640931748,0.6251483766335848,0.6489635293061916
A0 ep100,source,brute,grappe_sources,exactitude,0.6308345120226309,0.47384241971620616,0.7981516789419498
A0 ep100,source,brute,grappe_sources,exactitude_equilibree,0.6649697231833911,0.5334108255870185,0.7519066393398375
A0 ep100,source,brute,grappe_sources,f1_macro,0.6377776640931748,0.4894597867155821,0.7342250924717703
A0 ep200,image,equilibree,image,exactitude,0.9893930465527401,0.9840895698291102,0.9941072480848556
A0 ep200,image,equilibree,image,exactitude_equilibree,0.9866234390009606,0.9795764037224152,0.9925551213586163
A0 ep200,image,equilibree,image,f1_macro,0.9868443968091393,0.9802064856219218,0.9924827913558872
A0 ep200,image,equilibree,grappe_sources,exactitude,0.9893930465527401,0.9786191351875975,0.9966700852424081
A0 ep200,image,equilibree,grappe_sources,exactitude_equilibree,0.9866234390009606,0.9724873555794521,0.9961337511655496
A0 ep200,image,equilibree,grappe_sources,f1_macro,0.9868443968091393,0.9690414840489374,0.9955384875264731
A0 ep200,image,brute,image,exactitude,0.9893930465527401,0.9846641131408368,0.9941072480848556
A0 ep200,image,brute,image,exactitude_equilibree,0.9866234390009606,0.9799828030676657,0.9926413827485456
A0 ep200,image,brute,image,f1_macro,0.9868443968091393,0.9802723471541934,0.9926069444062813
A0 ep200,image,brute,grappe_sources,exactitude,0.9893930465527401,0.9784940636200717,0.9968269772127893
A0 ep200,image,brute,grappe_sources,exactitude_equilibree,0.9866234390009606,0.9724577095808383,0.9963214006964457
A0 ep200,image,brute,grappe_sources,f1_macro,0.9868443968091393,0.9712911611857563,0.9959665546623884
A0 ep200,source,equilibree,image,exactitude,0.632956152758133,0.6200406647807638,0.6448108203677511
A0 ep200,source,equilibree,image,exactitude_equilibree,0.6640133602460592,0.6515423106054717,0.6755561334454752
A0 ep200,source,equilibree,image,f1_macro,0.639445999310094,0.626316194945515,0.6516439708044542
A0 ep200,source,equilibree,grappe_sources,exactitude,0.632956152758133,0.46114439098359,0.8116676096181047
A0 ep200,source,equilibree,grappe_sources,exactitude_equilibree,0.6640133602460592,0.5165994543650794,0.7699416666666666
A0 ep200,source,equilibree,grappe_sources,f1_macro,0.639445999310094,0.47973713868722057,0.7563892473516622
A0 ep200,source,brute,image,exactitude,0.6227015558698727,0.60997171145686,0.6354314002828855
A0 ep200,source,brute,image,exactitude_equilibree,0.6542594194540561,0.6426778253172547,0.666259267838176
A0 ep200,source,brute,image,f1_macro,0.6298351853077663,0.6174934036055959,0.6420790734352012
A0 ep200,source,brute,grappe_sources,exactitude,0.6227015558698727,0.45534398148148153,0.789857695367751
A0 ep200,source,brute,grappe_sources,exactitude_equilibree,0.6542594194540561,0.5129187490960697,0.7620776013033699
A0 ep200,source,brute,grappe_sources,f1_macro,0.6298351853077663,0.48116857303638433,0.7420742765192834
A0 ep300,image,equilibree,image,exactitude,0.9858573954036535,0.9793753682969947,0.9911608721272834
A0 ep300,image,equilibree,image,exactitude_equilibree,0.9833306649589071,0.9759289425898525,0.9897750836632403
A0 ep300,image,equilibree,image,f1_macro,0.9834529327013138,0.9760935863722048,0.9899375684861461
A0 ep300,image,equilibree,grappe_sources,exactitude,0.9858573954036535,0.972668683217999,0.9941855900129921
A0 ep300,image,equilibree,grappe_sources,exactitude_equilibree,0.9833306649589071,0.9682288956313564,0.9941998456790124
A0 ep300,image,equilibree,grappe_sources,f1_macro,0.9834529327013138,0.9638417376516349,0.9928727716421509
A0 ep300,image,brute,image,exactitude,0.9870359457866824,0.981143193871538,0.9917501473187978
A0 ep300,image,brute,image,exactitude_equilibree,0.9842565908848329,0.9772707656626801,0.9902412030704738
A0 ep300,image,brute,image,f1_macro,0.9845021292966967,0.9776649338482738,0.9904366661344697
A0 ep300,image,brute,grappe_sources,exactitude,0.9870359457866824,0.9747657869666022,0.9957688492063492
A0 ep300,image,brute,grappe_sources,exactitude_equilibree,0.9842565908848329,0.9686907406120685,0.9947165402234176
A0 ep300,image,brute,grappe_sources,f1_macro,0.9845021292966967,0.9633350848230022,0.9938810897010479
A0 ep300,source,equilibree,image,exactitude,0.6356082036775106,0.6242927864214993,0.6486916548797736
A0 ep300,source,equilibree,image,exactitude_equilibree,0.6688249711649366,0.6577347001488077,0.6811422019634784
A0 ep300,source,equilibree,image,f1_macro,0.641839722130561,0.6300741569467881,0.6542969102590062
A0 ep300,source,equilibree,grappe_sources,exactitude,0.6356082036775106,0.47275969025446873,0.7920557327531248
A0 ep300,source,equilibree,grappe_sources,exactitude_equilibree,0.6688249711649366,0.5303258737789988,0.766696291208791
A0 ep300,source,equilibree,grappe_sources,f1_macro,0.641839722130561,0.47445024067861585,0.7530906032298791
A0 ep300,source,brute,image,exactitude,0.629066478076379,0.6173974540311173,0.6414471357850071
A0 ep300,source,brute,image,exactitude_equilibree,0.6644598231449442,0.6537247360516711,0.6759740713284685
A0 ep300,source,brute,image,f1_macro,0.6353577659275285,0.6232680120136413,0.6473238096828008
A0 ep300,source,brute,grappe_sources,exactitude,0.629066478076379,0.4568456458473248,0.7900071536144578
A0 ep300,source,brute,grappe_sources,exactitude_equilibree,0.6644598231449442,0.5219799297924298,0.7659298580616027
A0 ep300,source,brute,grappe_sources,f1_macro,0.6353577659275285,0.4696712383232561,0.7480862171898355
FOETAL ep50,image,equilibree,image,exactitude,0.9840895698291102,0.9776075427224514,0.9899823217442546
FOETAL ep50,image,equilibree,image,exactitude_equilibree,0.9816842779378803,0.9745688687271356,0.988554754015306
FOETAL ep50,image,equilibree,image,f1_macro,0.981123691432201,0.9737108124135101,0.9878690751419857
FOETAL ep50,image,equilibree,grappe_sources,exactitude,0.9840895698291102,0.9742858673875475,0.9912507662065905
FOETAL ep50,image,equilibree,grappe_sources,exactitude_equilibree,0.9816842779378803,0.9726356371252205,0.9884562825377179
FOETAL ep50,image,equilibree,grappe_sources,f1_macro,0.981123691432201,0.9617488990287297,0.987727333549629
FOETAL ep50,image,brute,image,exactitude,0.9882144961697112,0.9829110194460813,0.9929286977018268
FOETAL ep50,image,brute,image,exactitude_equilibree,0.9854400149428968,0.9786660654589431,0.9915108803252781
FOETAL ep50,image,brute,image,f1_macro,0.9851985726369962,0.9783201638717931,0.9913379728337788
FOETAL ep50,image,brute,grappe_sources,exactitude,0.9882144961697112,0.9796280121584999,0.9941930049052046
FOETAL ep50,image,brute,grappe_sources,exactitude_equilibree,0.9854400149428968,0.9786109760051882,0.9917293171593322
FOETAL ep50,image,brute,grappe_sources,f1_macro,0.9851985726369962,0.9702548746426728,0.9924707160205525
FOETAL ep50,source,equilibree,image,exactitude,0.6472772277227723,0.6343661598302687,0.65930427864215
FOETAL ep50,source,equilibree,image,exactitude_equilibree,0.6693766820453672,0.6575372434656477,0.6811509229307966
FOETAL ep50,source,equilibree,image,f1_macro,0.659913180236392,0.6477310384685041,0.6723153017742503
FOETAL ep50,source,equilibree,grappe_sources,exactitude,0.6472772277227723,0.4889740695546064,0.8176544434086952
FOETAL ep50,source,equilibree,grappe_sources,exactitude_equilibree,0.6693766820453672,0.5152740866310076,0.8066332714780555
FOETAL ep50,source,equilibree,grappe_sources,f1_macro,0.659913180236392,0.4915114588338758,0.7926936793065438
FOETAL ep50,source,brute,image,exactitude,0.6391442715700142,0.6271172206506365,0.6518785360678926
FOETAL ep50,source,brute,image,exactitude_equilibree,0.6623390042291426,0.6507108115682008,0.6743463488561711
FOETAL ep50,source,brute,image,f1_macro,0.6531064526226813,0.6411068346747727,0.6658450350327426
FOETAL ep50,source,brute,grappe_sources,exactitude,0.6391442715700142,0.4564256628787879,0.8262808525769746
FOETAL ep50,source,brute,grappe_sources,exactitude_equilibree,0.6623390042291426,0.5091475330001282,0.8078589156988063
FOETAL ep50,source,brute,grappe_sources,f1_macro,0.6531064526226813,0.48318382078023286,0.7999181320323395
FOETAL ep100,image,equilibree,image,exactitude,0.9893930465527401,0.9840895698291102,0.9941072480848556
FOETAL ep100,image,equilibree,image,exactitude_equilibree,0.9866754723022735,0.9798451045151602,0.9926196838847273
FOETAL ep100,image,equilibree,image,f1_macro,0.9866256685041142,0.9800873292542674,0.9925087709150422
