encodeur,condition,variante,vrai,predit,n
RANDOM,image,equilibree,foetal,foetal,518
RANDOM,image,equilibree,foetal,cardiaque,9
RANDOM,image,equilibree,foetal,thyroide,2
RANDOM,image,equilibree,foetal,sein,11
RANDOM,image,equilibree,cardiaque,foetal,5
RANDOM,image,equilibree,cardiaque,cardiaque,531
RANDOM,image,equilibree,cardiaque,thyroide,3
RANDOM,image,equilibree,cardiaque,sein,1
RANDOM,image,equilibree,thyroide,foetal,3
RANDOM,image,equilibree,thyroide,cardiaque,5
RANDOM,image,equilibree,thyroide,thyroide,245
RANDOM,image,equilibree,thyroide,sein,17
RANDOM,image,equilibree,sein,foetal,6
RANDOM,image,equilibree,sein,cardiaque,0
RANDOM,image,equilibree,sein,thyroide,25
RANDOM,image,equilibree,sein,sein,316
RANDOM,image,brute,foetal,foetal,522
RANDOM,image,brute,foetal,cardiaque,7
RANDOM,image,brute,foetal,thyroide,2
RANDOM,image,brute,foetal,sein,9
RANDOM,image,brute,cardiaque,foetal,5
RANDOM,image,brute,cardiaque,cardiaque,531
RANDOM,image,brute,cardiaque,thyroide,3
RANDOM,image,brute,cardiaque,sein,1
RANDOM,image,brute,thyroide,foetal,4
RANDOM,image,brute,thyroide,cardiaque,5
RANDOM,image,brute,thyroide,thyroide,238
RANDOM,image,brute,thyroide,sein,23
RANDOM,image,brute,sein,foetal,6
RANDOM,image,brute,sein,cardiaque,0
RANDOM,image,brute,sein,thyroide,23
RANDOM,image,brute,sein,sein,318
RANDOM,source,equilibree,foetal,foetal,931
RANDOM,source,equilibree,foetal,cardiaque,558
RANDOM,source,equilibree,foetal,thyroide,152
RANDOM,source,equilibree,foetal,sein,159
RANDOM,source,equilibree,cardiaque,foetal,697
RANDOM,source,equilibree,cardiaque,cardiaque,727
RANDOM,source,equilibree,cardiaque,thyroide,374
RANDOM,source,equilibree,cardiaque,sein,2
RANDOM,source,equilibree,thyroide,foetal,78
RANDOM,source,equilibree,thyroide,cardiaque,32
RANDOM,source,equilibree,thyroide,thyroide,369
RANDOM,source,equilibree,thyroide,sein,421
RANDOM,source,equilibree,sein,foetal,274
RANDOM,source,equilibree,sein,cardiaque,0
RANDOM,source,equilibree,sein,thyroide,276
RANDOM,source,equilibree,sein,sein,606
RANDOM,source,brute,foetal,foetal,944
RANDOM,source,brute,foetal,cardiaque,580
RANDOM,source,brute,foetal,thyroide,123
RANDOM,source,brute,foetal,sein,153
RANDOM,source,brute,cardiaque,foetal,768
RANDOM,source,brute,cardiaque,cardiaque,688
RANDOM,source,brute,cardiaque,thyroide,342
RANDOM,source,brute,cardiaque,sein,2
RANDOM,source,brute,thyroide,foetal,82
RANDOM,source,brute,thyroide,cardiaque,32
RANDOM,source,brute,thyroide,thyroide,357
RANDOM,source,brute,thyroide,sein,429
RANDOM,source,brute,sein,foetal,287
RANDOM,source,brute,sein,cardiaque,0
RANDOM,source,brute,sein,thyroide,262
RANDOM,source,brute,sein,sein,607
IN1K,image,equilibree,foetal,foetal,539
IN1K,image,equilibree,foetal,cardiaque,1
IN1K,image,equilibree,foetal,thyroide,0
IN1K,image,equilibree,foetal,sein,0
IN1K,image,equilibree,cardiaque,foetal,0
IN1K,image,equilibree,cardiaque,cardiaque,540
IN1K,image,equilibree,cardiaque,thyroide,0
IN1K,image,equilibree,cardiaque,sein,0
IN1K,image,equilibree,thyroide,foetal,0
IN1K,image,equilibree,thyroide,cardiaque,0
IN1K,image,equilibree,thyroide,thyroide,264
IN1K,image,equilibree,thyroide,sein,6
IN1K,image,equilibree,sein,foetal,1
IN1K,image,equilibree,sein,cardiaque,1
IN1K,image,equilibree,sein,thyroide,0
IN1K,image,equilibree,sein,sein,345
IN1K,image,brute,foetal,foetal,539
IN1K,image,brute,foetal,cardiaque,1
IN1K,image,brute,foetal,thyroide,0
IN1K,image,brute,foetal,sein,0
IN1K,image,brute,cardiaque,foetal,0
IN1K,image,brute,cardiaque,cardiaque,540
IN1K,image,brute,cardiaque,thyroide,0
IN1K,image,brute,cardiaque,sein,0
IN1K,image,brute,thyroide,foetal,0
IN1K,image,brute,thyroide,cardiaque,0
IN1K,image,brute,thyroide,thyroide,264
IN1K,image,brute,thyroide,sein,6
IN1K,image,brute,sein,foetal,1
IN1K,image,brute,sein,cardiaque,1
IN1K,image,brute,sein,thyroide,0
IN1K,image,brute,sein,sein,345
IN1K,source,equilibree,foetal,foetal,1432
IN1K,source,equilibree,foetal,cardiaque,238
IN1K,source,equilibree,foetal,thyroide,120
IN1K,source,equilibree,foetal,sein,10
IN1K,source,equilibree,cardiaque,foetal,797
IN1K,source,equilibree,cardiaque,cardiaque,707
IN1K,source,equilibree,cardiaque,thyroide,137
IN1K,source,equilibree,cardiaque,sein,159
IN1K,source,equilibree,thyroide,foetal,46
IN1K,source,equilibree,thyroide,cardiaque,0
IN1K,source,equilibree,thyroide,thyroide,778
IN1K,source,equilibree,thyroide,sein,76
IN1K,source,equilibree,sein,foetal,71
