encodeur,condition,variante,pli,n_test,exactitude,exactitude_equilibree,f1_macro,rappel_foetal,rappel_cardiaque,rappel_thyroide,rappel_sein
RANDOM,image,equilibree,regroupe,1697,0.948733058338244,0.9401657060518732,0.9393992800652335,0.9592592592592593,0.9833333333333333,0.9074074074074074,0.9106628242074928
RANDOM,image,brute,regroupe,1697,0.9481437831467295,0.9369769986124453,0.9373008090879239,0.9666666666666667,0.9833333333333333,0.8814814814814815,0.9164265129682997
RANDOM,source,equilibree,regroupe,5656,0.46552333804809054,0.4638331410995771,0.4581203006160942,0.5172222222222222,0.4038888888888889,0.41,0.5242214532871973
RANDOM,source,equilibree,0,1800,0.365,0.32805555555555554,0.3261718932503252,0.4388888888888889,0.25666666666666665,0.23333333333333334,0.38333333333333336
RANDOM,source,equilibree,1,2356,0.44227504244482174,0.5278447242206236,0.44274303124781134,0.8366666666666667,0.3516666666666667,0.5633333333333334,0.3597122302158273
RANDOM,source,equilibree,2,1500,0.6226666666666667,0.6595833333333333,0.6161014277560917,0.475,0.76,0.43333333333333335,0.97
RANDOM,source,brute,regroupe,5656,0.458981612446959,0.45710495963091125,0.4518696575499135,0.5244444444444445,0.38222222222222224,0.39666666666666667,0.5250865051903114
RANDOM,source,brute,0,1800,0.36666666666666664,0.33277777777777784,0.328893754023527,0.43444444444444447,0.29333333333333333,0.22333333333333333,0.38
RANDOM,source,brute,1,2356,0.4235993208828523,0.5219019784172663,0.4348077513454245,0.8533333333333334,0.30916666666666665,0.56,0.36510791366906475
RANDOM,source,brute,2,1500,0.6253333333333333,0.6579166666666667,0.6157178372510325,0.495,0.7633333333333333,0.4066666666666667,0.9666666666666667
IN1K,image,equilibree,regroupe,1697,0.99469652327637,0.9925405592912797,0.9934006115512257,0.9981481481481481,1.0,0.9777777777777777,0.9942363112391931
IN1K,image,brute,regroupe,1697,0.99469652327637,0.9925405592912797,0.9934006115512257,0.9981481481481481,1.0,0.9777777777777777,0.9942363112391931
IN1K,source,equilibree,regroupe,5656,0.6868811881188119,0.7225370049980777,0.6953984700494997,0.7955555555555556,0.3927777777777778,0.8644444444444445,0.8373702422145328
IN1K,source,equilibree,0,1800,0.7505555555555555,0.7908333333333333,0.7449764875517622,0.67,1.0,0.8466666666666667,0.6466666666666666
