encodeur,condition,variante,observe,perm_moyenne,perm_p975,p_valeur
RANDOM,image,equilibree,0.9401657060518732,0.24964660315935533,0.2700223809905006,0.001996007984031936
RANDOM,image,brute,0.9369769986124453,0.24991335788237806,0.2712708800298858,0.001996007984031936
RANDOM,source,equilibree,0.4638331410995771,0.22791177527873896,0.23778129805843906,0.001996007984031936
RANDOM,source,brute,0.45710495963091125,0.22376170511341792,0.2347405445021146,0.001996007984031936
IN1K,image,equilibree,0.9925405592912797,0.25092868769345716,0.2714229106628242,0.001996007984031936
IN1K,image,brute,0.9925405592912797,0.24987143238339207,0.26780256030526206,0.001996007984031936
IN1K,source,equilibree,0.7225370049980777,0.23111401864667436,0.24079119809688584,0.001996007984031936
IN1K,source,brute,0.7382035755478662,0.23644379373317956,0.2464882136678201,0.001996007984031936
DINOv2,image,equilibree,0.9863659408688227,0.2500678914505283,0.27105477505603587,0.001996007984031936
DINOv2,image,brute,0.9880123278898495,0.2509103212722809,0.27336021720567827,0.001996007984031936
DINOv2,source,equilibree,0.7470842945021147,0.24354066224529025,0.2550811827181853,0.001996007984031936
DINOv2,source,brute,0.7473442906574395,0.24350594194540562,0.2567453022875817,0.001996007984031936
A0 ep100,image,equilibree,0.9870864019639235,0.24956203170028818,0.2698819911409969,0.001996007984031936
A0 ep100,image,brute,0.9870864019639235,0.24982700394919413,0.2710445018144946,0.001996007984031936
A0 ep100,source,equilibree,0.6717930603613995,0.24855674163783162,0.25991866109188777,0.001996007984031936
A0 ep100,source,brute,0.6649697231833911,0.24422190311418682,0.2550585592079969,0.001996007984031936
A0 ep200,image,equilibree,0.9866234390009606,0.24940320471768598,0.27026560331945776,0.001996007984031936
A0 ep200,image,brute,0.9866234390009606,0.24999411890276443,0.2710134486071086,0.001996007984031936
A0 ep200,source,equilibree,0.6640133602460592,0.24591604575163398,0.25640721116878123,0.001996007984031936
A0 ep200,source,brute,0.6542594194540561,0.2422662870049981,0.25297342368319875,0.001996007984031936
A0 ep300,image,equilibree,0.9833306649589071,0.2501203196712563,0.27058033808303983,0.001996007984031936
A0 ep300,image,brute,0.9842565908848329,0.24976055608923042,0.2696087162450635,0.001996007984031936
A0 ep300,source,equilibree,0.6688249711649366,0.24829417627835448,0.25968610630526723,0.001996007984031936
A0 ep300,source,brute,0.6644598231449442,0.2444493175701653,0.2561395857362553,0.001996007984031936
FOETAL ep50,image,equilibree,0.9816842779378803,0.24992124826555664,0.271530846408368,0.001996007984031936
FOETAL ep50,image,brute,0.9854400149428968,0.2499393345074181,0.27036966992208344,0.001996007984031936
FOETAL ep50,source,equilibree,0.6693766820453672,0.23861539311803154,0.24935887639369472,0.001996007984031936
FOETAL ep50,source,brute,0.6623390042291426,0.23477871491733948,0.24584204392541328,0.001996007984031936
FOETAL ep100,image,equilibree,0.9866754723022735,0.24978943323727185,0.2693695965417867,0.001996007984031936
FOETAL ep100,image,brute,0.9859550112071727,0.25012379656313377,0.2704255056569538,0.001996007984031936
FOETAL ep100,source,equilibree,0.659305074971165,0.240584222414456,0.25235389033064204,0.001996007984031936
FOETAL ep100,source,brute,0.6578565936178393,0.23634565551710882,0.24653203094963475,0.001996007984031936
