contraste,encodeur,reference,condition,variante,n_images,n_groupes,difference,ic_bas_image,ic_haut_image,p_bootstrap_image,ic_bas_grappe,ic_haut_grappe,p_bootstrap_grappe
plan,RANDOM,source_held_out,image_cv moins source,equilibree,5656,16,0.4734313725490197,0.4575578366011638,0.48788369848305,0.0,0.34550167421773587,0.5977503946842525,0.0
plan,IN1K,source_held_out,image_cv moins source,equilibree,5656,16,0.269357939254133,0.2585813385678707,0.2792650999818691,0.0,0.08625587547998469,0.4112300347222222,0.0
plan,DINOv2,source_held_out,image_cv moins source,equilibree,5656,16,0.23879084967320263,0.22804331686323037,0.24901139182749182,0.0,0.08193520148167184,0.3540919717030113,0.0
plan,A0 ep100,source_held_out,image_cv moins source,equilibree,5656,16,0.3149927912341407,0.3041405430123601,0.3258311587485556,0.0,0.22403036952014752,0.4561369081828133,0.0
plan,A0 ep200,source_held_out,image_cv moins source,equilibree,5656,16,0.32422289504036916,0.31217000440416065,0.3357928468639091,0.0,0.22345054330319133,0.4612100166775138,0.0
plan,A0 ep300,source_held_out,image_cv moins source,equilibree,5656,16,0.31732795078815834,0.30578002321773223,0.32865668276051285,0.0,0.21689258965657915,0.4588113134199417,0.0
plan,FOETAL ep50,source_held_out,image_cv moins source,equilibree,5656,16,0.3161115916955016,0.3037968767129404,0.3281230778442314,0.0,0.16960972222222218,0.4627860086930457,0.0
plan,FOETAL ep100,source_held_out,image_cv moins source,equilibree,5656,16,0.3251018838908112,0.31410665911138447,0.33604368904568277,0.0,0.22530940834892008,0.45728705357142846,0.0
encodeur,RANDOM,DINOv2,source,equilibree,5656,16,-0.2832511534025376,-0.299446136402278,-0.26590148894741666,0.0,-0.4359950492216117,-0.16237533939014204,0.0
encodeur,IN1K,DINOv2,source,equilibree,5656,16,-0.02454728950403695,-0.03506770270549093,-0.01421397284416668,0.0,-0.07147381465517251,0.011780059523809658,0.206
encodeur,A0 ep100,DINOv2,source,equilibree,5656,16,-0.07529123414071515,-0.08765057221154221,-0.06266407888402008,0.0,-0.23692239583333344,0.01824755082800447,0.116
encodeur,A0 ep200,DINOv2,source,equilibree,5656,16,-0.0830709342560555,-0.09575769490609896,-0.07105366883481572,0.0,-0.2224459974114841,-0.006124022010765295,0.026
encodeur,A0 ep300,DINOv2,source,equilibree,5656,16,-0.07825932333717811,-0.09114280229969529,-0.06389146416420416,0.0,-0.25354805295212846,0.013434834566254309,0.098
encodeur,FOETAL ep50,DINOv2,source,equilibree,5656,16,-0.07770761245674751,-0.08960734647895563,-0.06491362656730099,0.0,-0.18451687591376686,-0.0133620535714285,0.008
encodeur,FOETAL ep100,DINOv2,source,equilibree,5656,16,-0.08777921953094969,-0.10103921505159852,-0.07501810049233022,0.0,-0.214085684738106,-0.01756255933837727,0.004
encodeur,IN1K,RANDOM,source,equilibree,5656,16,0.25870386389850064,0.24403673968252806,0.27372321582764797,0.0,0.11892368105515587,0.43760012610739063,0.0
encodeur,DINOv2,RANDOM,source,equilibree,5656,16,0.2832511534025376,0.2672851115442293,0.2986749672151533,0.0,0.17849458140680952,0.43847496272365816,0.0
encodeur,A0 ep100,RANDOM,source,equilibree,5656,16,0.20795991926182245,0.19316170529896828,0.22175962373360927,0.0,0.07571164772727268,0.3055940709907222,0.0
encodeur,A0 ep200,RANDOM,source,equilibree,5656,16,0.2001802191464821,0.18562304467731025,0.2153259218911512,0.0,0.07425646414288808,0.2928398685515873,0.006
encodeur,A0 ep300,RANDOM,source,equilibree,5656,16,0.20499183006535948,0.18989471565730745,0.2206680442913786,0.0,0.07644791666666663,0.30674360721703015,0.006
encodeur,FOETAL ep50,RANDOM,source,equilibree,5656,16,0.20554354094579008,0.18883289049209154,0.2214605490421033,0.0,0.05941641994845682,0.3608778677058353,0.0
encodeur,FOETAL ep100,RANDOM,source,equilibree,5656,16,0.1954719338715879,0.18041229558147137,0.2109245167845803,0.0,0.0675213462752526,0.3264181547619047,0.004
encodeur,RANDOM,DINOv2,image_cv,equilibree,5656,16,-0.048610630526720544,-0.0565086103158225,-0.041782615593805174,0.0,-0.0749625034209086,-0.021786607142856997,0.0
encodeur,IN1K,DINOv2,image_cv,equilibree,5656,16,0.0060198000768934,0.002024119233234753,0.010096795729577486,0.002,0.0008231271777003751,0.010198536706349215,0.02
encodeur,A0 ep100,DINOv2,image_cv,equilibree,5656,16,0.0009107074202229226,-0.0036746833660180724,0.005646906461957429,0.69,-0.003915884167665911,0.005186879960317454,0.75
encodeur,A0 ep200,DINOv2,image_cv,equilibree,5656,16,0.002361111111111036,-0.0019444447358128308,0.0071515322805598075,0.25,-0.0026631197363404997,0.006252398989898967,0.32
encodeur,A0 ep300,DINOv2,image_cv,equilibree,5656,16,0.00027777777777759916,-0.004793275299738919,0.004716720641850893,0.894,-0.005078845101258947,0.005279160764872458,0.992
encodeur,FOETAL ep50,DINOv2,image_cv,equilibree,5656,16,-0.0003868704344485163,-0.004740845036240499,0.004494793686752676,0.858,-0.005692241207034429,0.003363991910866975,0.8
