encodeur,condition,variante,type,statistique,estimation,ic_bas,ic_haut
RANDOM,image_cv,equilibree,image,exactitude,0.9467821782178217,0.9407708628005658,0.9524443069306932
RANDOM,image_cv,equilibree,image,exactitude_equilibree,0.9372645136485968,0.9298329034105391,0.9438912454629952
RANDOM,image_cv,equilibree,image,f1_macro,0.9370875543758614,0.9297865577292609,0.9436939665466676
RANDOM,image_cv,equilibree,grappe_sources,exactitude,0.9467821782178217,0.9159563375629839,0.9703394927536232
RANDOM,image_cv,equilibree,grappe_sources,exactitude_equilibree,0.9372645136485968,0.9085217607621517,0.9662571651090344
RANDOM,image_cv,equilibree,grappe_sources,f1_macro,0.9370875543758614,0.8896064364318587,0.9643575444135414
RANDOM,image_cv,brute,image,exactitude,0.9485502121640735,0.9425344766619519,0.9542079207920792
RANDOM,image_cv,brute,image,exactitude_equilibree,0.9374668396770474,0.930064536960945,0.9448856930821127
RANDOM,image_cv,brute,image,f1_macro,0.9383513985617812,0.9310877864754237,0.9456374610114874
RANDOM,image_cv,brute,grappe_sources,exactitude,0.9485502121640735,0.9147824721404542,0.972850111225732
RANDOM,image_cv,brute,grappe_sources,exactitude_equilibree,0.9374668396770474,0.9065590377697842,0.9683102209378587
RANDOM,image_cv,brute,grappe_sources,f1_macro,0.9383513985617812,0.8893443471779903,0.9679996651134896
IN1K,image_cv,equilibree,image,exactitude,0.993988684582744,0.9918670438472419,0.995933521923621
IN1K,image_cv,equilibree,image,exactitude_equilibree,0.9918949442522107,0.9891134788703484,0.9946392639913032
IN1K,image_cv,equilibree,image,f1_macro,0.992315015553212,0.9896727547418439,0.994793972638408
IN1K,image_cv,equilibree,grappe_sources,exactitude,0.993988684582744,0.988518469712182,0.9978271014492753
IN1K,image_cv,equilibree,grappe_sources,exactitude_equilibree,0.9918949442522107,0.9875871539792388,0.9960340085074797
IN1K,image_cv,equilibree,grappe_sources,f1_macro,0.992315015553212,0.9846438375870998,0.9968668131703349
IN1K,image_cv,brute,image,exactitude,0.9943422913719944,0.9923974540311173,0.9962871287128713
IN1K,image_cv,brute,image,exactitude_equilibree,0.9922500961168782,0.989501374907823,0.9949557201439784
IN1K,image_cv,brute,image,f1_macro,0.9927382983112369,0.9902462842325902,0.995181459104837
IN1K,image_cv,brute,grappe_sources,exactitude,0.9943422913719944,0.9888880712082984,0.9980402956737482
IN1K,image_cv,brute,grappe_sources,exactitude_equilibree,0.9922500961168782,0.9875773763326112,0.9959685580625959
IN1K,image_cv,brute,grappe_sources,f1_macro,0.9927382983112369,0.9857491244790583,0.9968476112580864
DINOv2,image_cv,equilibree,image,exactitude,0.9895685997171145,0.9865629420084866,0.9922206506364922
DINOv2,image_cv,equilibree,image,exactitude_equilibree,0.9858751441753173,0.9817480518480127,0.9894737081552843
DINOv2,image_cv,equilibree,image,f1_macro,0.9862230639786651,0.9823937920748436,0.9897328434849049
DINOv2,image_cv,equilibree,grappe_sources,exactitude,0.9895685997171145,0.9814032832278481,0.9956535737282679
DINOv2,image_cv,equilibree,grappe_sources,exactitude_equilibree,0.9858751441753173,0.9783734061131857,0.9930933153345529
DINOv2,image_cv,equilibree,grappe_sources,f1_macro,0.9862230639786651,0.9724777099712782,0.9950304661863058
DINOv2,image_cv,brute,image,exactitude,0.9893917963224894,0.9869121287128713,0.9922206506364922
DINOv2,image_cv,brute,image,exactitude_equilibree,0.9857362552864284,0.9822426299548795,0.9894412223161506
DINOv2,image_cv,brute,image,f1_macro,0.986150325585859,0.9826528045804679,0.9897433326394274
DINOv2,image_cv,brute,grappe_sources,exactitude,0.9893917963224894,0.9810126582278481,0.9956696049934787
DINOv2,image_cv,brute,grappe_sources,exactitude_equilibree,0.9857362552864284,0.9787040767386092,0.9927183168885452
DINOv2,image_cv,brute,grappe_sources,f1_macro,0.986150325585859,0.9728626579750701,0.9950940152449551
