encodeur,condition,variante,observe,perm_moyenne,perm_p975,p_valeur
RANDOM,image_cv,equilibree,0.9372645136485968,0.25040060361399463,0.2612256463860054,0.001996007984031936
RANDOM,image_cv,brute,0.9374668396770474,0.2498234775086505,0.2602457828719723,0.001996007984031936
IN1K,image_cv,equilibree,0.9918949442522107,0.250479507881584,0.2615489355055748,0.001996007984031936
IN1K,image_cv,brute,0.9922500961168782,0.2500993627450981,0.2606111831987697,0.001996007984031936
DINOv2,image_cv,equilibree,0.9858751441753173,0.2497744184928873,0.2615616229334871,0.001996007984031936
DINOv2,image_cv,brute,0.9857362552864284,0.24986545174932717,0.26129046520569016,0.001996007984031936
A0 ep100,image_cv,equilibree,0.9867858515955402,0.25014342945021145,0.26088705065359474,0.001996007984031936
A0 ep100,image_cv,brute,0.9871568627450981,0.25022512014609766,0.26146345155709344,0.001996007984031936
A0 ep200,image_cv,equilibree,0.9882362552864283,0.2496823048827374,0.261614138792772,0.001996007984031936
A0 ep200,image_cv,brute,0.9872025182622068,0.2503462399077278,0.26147366397539407,0.001996007984031936
A0 ep300,image_cv,equilibree,0.9861529219530949,0.25022276912725877,0.2623712874855824,0.001996007984031936
A0 ep300,image_cv,brute,0.9868017108804306,0.25024703767781625,0.2604437596116878,0.001996007984031936
FOETAL ep50,image_cv,equilibree,0.9854882737408688,0.25062495001922336,0.2615680507497117,0.001996007984031936
FOETAL ep50,image_cv,brute,0.9852104959630912,0.24962357843137256,0.261369413206459,0.001996007984031936
FOETAL ep100,image_cv,equilibree,0.9844069588619762,0.25003601883890814,0.2607351739715494,0.001996007984031936
FOETAL ep100,image_cv,brute,0.9848553440984237,0.25012322568242984,0.26160866013071893,0.001996007984031936
