encodeur,perimetre,categorie,n_sources,n_test,exactitude,exactitude_equilibree,hasard,majorite
RANDOM,globale,toutes,19,1697,0.9121979964643488,0.9097060833902939,0.05263157894736842,0.05303476723629935
RANDOM,par_categorie,foetal,6,540,0.9888888888888889,0.9888888888888889,0.16666666666666666,0.16666666666666666
RANDOM,par_categorie,cardiaque,6,540,0.9722222222222222,0.9722222222222223,0.16666666666666666,0.16666666666666666
RANDOM,par_categorie,thyroide,3,270,0.9037037037037037,0.9037037037037038,0.3333333333333333,0.3333333333333333
RANDOM,par_categorie,sein,4,347,0.8847262247838616,0.8785714285714286,0.25,0.25936599423631124
IN1K,globale,toutes,19,1697,0.9787860931054803,0.9782562466772992,0.05263157894736842,0.05303476723629935
IN1K,par_categorie,foetal,6,540,0.9981481481481481,0.9981481481481481,0.16666666666666666,0.16666666666666666
IN1K,par_categorie,cardiaque,6,540,1.0,1.0,0.16666666666666666,0.16666666666666666
IN1K,par_categorie,thyroide,3,270,0.9592592592592593,0.9592592592592593,0.3333333333333333,0.3333333333333333
IN1K,par_categorie,sein,4,347,0.9596541786743515,0.9587662337662338,0.25,0.25936599423631124
DINOv2,globale,toutes,19,1697,0.9723040659988215,0.9722184248500038,0.05263157894736842,0.05303476723629935
DINOv2,par_categorie,foetal,6,540,1.0,1.0,0.16666666666666666,0.16666666666666666
DINOv2,par_categorie,cardiaque,6,540,0.9962962962962963,0.9962962962962963,0.16666666666666666,0.16666666666666666
DINOv2,par_categorie,thyroide,3,270,0.9407407407407408,0.9407407407407407,0.3333333333333333,0.3333333333333333
DINOv2,par_categorie,sein,4,347,0.9567723342939481,0.956926406926407,0.25,0.25936599423631124
A0 ep100,globale,toutes,19,1697,0.9670005892751915,0.9661654135338344,0.05263157894736842,0.05303476723629935
A0 ep100,par_categorie,foetal,6,540,1.0,1.0,0.16666666666666666,0.16666666666666666
A0 ep100,par_categorie,cardiaque,6,540,1.0,1.0,0.16666666666666666,0.16666666666666666
A0 ep100,par_categorie,thyroide,3,270,0.9592592592592593,0.9592592592592593,0.3333333333333333,0.3333333333333333
A0 ep100,par_categorie,sein,4,347,0.9423631123919308,0.9406926406926407,0.25,0.25936599423631124
A0 ep200,globale,toutes,19,1697,0.981143193871538,0.9806941596415278,0.05263157894736842,0.05303476723629935
A0 ep200,par_categorie,foetal,6,540,1.0,1.0,0.16666666666666666,0.16666666666666666
A0 ep200,par_categorie,cardiaque,6,540,1.0,1.0,0.16666666666666666,0.16666666666666666
A0 ep200,par_categorie,thyroide,3,270,0.9703703703703703,0.9703703703703703,0.3333333333333333,0.3333333333333333
A0 ep200,par_categorie,sein,4,347,0.968299711815562,0.9670995670995671,0.25,0.25936599423631124
A0 ep300,globale,toutes,19,1697,0.9752504419563937,0.9743525480367585,0.05263157894736842,0.05303476723629935
A0 ep300,par_categorie,foetal,6,540,1.0,1.0,0.16666666666666666,0.16666666666666666
A0 ep300,par_categorie,cardiaque,6,540,1.0,1.0,0.16666666666666666,0.16666666666666666
A0 ep300,par_categorie,thyroide,3,270,0.9629629629629629,0.9629629629629631,0.3333333333333333,0.3333333333333333
A0 ep300,par_categorie,sein,4,347,0.9596541786743515,0.9564213564213564,0.25,0.25936599423631124
FOETAL ep50,globale,toutes,19,1697,0.971714790807307,0.9708437761069338,0.05263157894736842,0.05303476723629935
FOETAL ep50,par_categorie,foetal,6,540,1.0,1.0,0.16666666666666666,0.16666666666666666
FOETAL ep50,par_categorie,cardiaque,6,540,1.0,1.0,0.16666666666666666,0.16666666666666666
FOETAL ep50,par_categorie,thyroide,3,270,0.9592592592592593,0.9592592592592593,0.3333333333333333,0.3333333333333333
FOETAL ep50,par_categorie,sein,4,347,0.9538904899135446,0.9513347763347764,0.25,0.25936599423631124
FOETAL ep100,globale,toutes,19,1697,0.9723040659988215,0.9716260347839295,0.05263157894736842,0.05303476723629935
FOETAL ep100,par_categorie,foetal,6,540,1.0,1.0,0.16666666666666666,0.16666666666666666
FOETAL ep100,par_categorie,cardiaque,6,540,1.0,1.0,0.16666666666666666,0.16666666666666666
FOETAL ep100,par_categorie,thyroide,3,270,0.9555555555555556,0.9555555555555556,0.3333333333333333,0.3333333333333333
FOETAL ep100,par_categorie,sein,4,347,0.9452449567723343,0.9434704184704185,0.25,0.25936599423631124
