identifiant,hamming,pixels_identiques,lecteur1_categorie,lecteur2_categorie,arbitre,finale,positif_principal,commentaire
PAIRE0001,0,False,2,2,,2.0,True,
PAIRE0002,0,False,2,2,,2.0,True,
PAIRE0003,0,False,3,3,,3.0,True,
PAIRE0004,0,False,3,3,,3.0,True,
PAIRE0005,0,False,3,2,3.0,3.0,True,
PAIRE0006,0,False,3,3,,3.0,True,
PAIRE0007,2,False,3,4,4.0,4.0,False,
PAIRE0008,2,False,4,4,,4.0,False,
PAIRE0009,2,False,4,4,,4.0,False,
PAIRE0010,2,False,4,4,,4.0,False,
PAIRE0011,2,False,4,4,,4.0,False,
PAIRE0012,2,False,4,4,,4.0,False,
PAIRE0013,2,False,3,3,,3.0,True,
PAIRE0014,2,False,4,4,,4.0,False,
PAIRE0015,2,False,3,3,,3.0,True,
PAIRE0016,2,False,4,4,,4.0,False,
PAIRE0017,2,False,3,3,,3.0,True,
PAIRE0018,2,False,4,4,,4.0,False,
PAIRE0019,2,False,4,4,,4.0,False,
PAIRE0020,2,False,2,2,,2.0,True,
PAIRE0021,2,False,3,3,,3.0,True,
PAIRE0022,2,False,4,4,,4.0,False,
PAIRE0023,2,False,2,2,,2.0,True,
PAIRE0024,2,False,3,3,,3.0,True,
PAIRE0025,2,False,2,2,,2.0,True,
