Probe weighting,Encoder,"Image-wise balanced accuracy [95% CI, image bootstrap]","Source-held-out balanced accuracy [95% CI, source-cluster bootstrap]","Source-held-out, mean ± SD across folds",Image-wise accuracy,Source-held-out accuracy,Source-held-out macro-F1,"Permutation null, 97.5th percentile",Permutation p value
equilibree,Random init.,0.940 [0.928; 0.952],0.464 [0.340; 0.594],0.505 ± 0.136,0.949,0.466,0.458,0.238,0.002
equilibree,ImageNet-1k,0.993 [0.987; 0.997],0.723 [0.564; 0.903],0.808 ± 0.073,0.995,0.687,0.695,0.241,0.002
equilibree,DINOv2,0.986 [0.979; 0.993],0.747 [0.636; 0.912],0.823 ± 0.059,0.99,0.722,0.726,0.255,0.002
equilibree,OBSonix A0 ep100,0.987 [0.981; 0.993],0.672 [0.542; 0.758],0.681 ± 0.093,0.989,0.638,0.644,0.26,0.002
equilibree,OBSonix A0 ep200,0.987 [0.980; 0.993],0.664 [0.517; 0.770],0.684 ± 0.096,0.989,0.633,0.639,0.256,0.002
equilibree,OBSonix A0 ep300,0.983 [0.976; 0.990],0.669 [0.530; 0.767],0.682 ± 0.119,0.986,0.636,0.642,0.26,0.002
equilibree,OBSonix fetal ep50,0.982 [0.975; 0.989],0.669 [0.515; 0.807],0.717 ± 0.043,0.984,0.647,0.66,0.249,0.002
equilibree,OBSonix fetal ep100,0.987 [0.980; 0.993],0.659 [0.524; 0.758],0.686 ± 0.065,0.989,0.622,0.635,0.252,0.002
brute,Random init.,0.937 [0.924; 0.950],0.457 [0.343; 0.584],0.504 ± 0.133,0.948,0.459,0.452,0.235,0.002
brute,ImageNet-1k,0.993 [0.987; 0.997],0.738 [0.587; 0.910],0.817 ± 0.065,0.995,0.707,0.715,0.246,0.002
brute,DINOv2,0.988 [0.982; 0.994],0.747 [0.632; 0.895],0.822 ± 0.055,0.991,0.721,0.726,0.257,0.002
brute,OBSonix A0 ep100,0.987 [0.981; 0.993],0.665 [0.533; 0.752],0.685 ± 0.084,0.989,0.631,0.638,0.255,0.002
brute,OBSonix A0 ep200,0.987 [0.980; 0.993],0.654 [0.513; 0.762],0.681 ± 0.084,0.989,0.623,0.63,0.253,0.002
brute,OBSonix A0 ep300,0.984 [0.977; 0.990],0.664 [0.522; 0.766],0.683 ± 0.113,0.987,0.629,0.635,0.256,0.002
brute,OBSonix fetal ep50,0.985 [0.979; 0.992],0.662 [0.509; 0.808],0.716 ± 0.038,0.988,0.639,0.653,0.246,0.002
brute,OBSonix fetal ep100,0.986 [0.979; 0.993],0.658 [0.521; 0.758],0.692 ± 0.052,0.989,0.619,0.634,0.247,0.002
baseline,classe_majoritaire (image),0.250,,,0.318,,,,
baseline,majorite_de_la_source (image),1.000,,,1.0,,,,
baseline,classe_majoritaire (source),,0.125,,,0.159,,,
